PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Commissioning Year,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,Year of Data
1008114,Ahwaz (ramiin),Oil,1903,,Sub-Critical Thermal,1980-1985,8,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008115,Amir Kabir,Hydro,90,,Dam,1961,2,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008116,Aras,Hydro,22,,Dam,1971,2,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008117,Asalooyeh,Oil,50,,Sub-Critical Thermal,2007,6,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008118,Bainalood Korasan,Wind,70,,Onshore Wind,2004-2007,43,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008119,Bandar Abbas,Oil,1280,,Sub-Critical Thermal,1980-1985,4,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008120,Bandar Abbas,Natural Gas,50,,OCGT,2002,2,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008121,Besat,Oil,247.5,,Sub-Critical Thermal,1967-1968,3,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008122,Bistoon,Oil,640,,Sub-Critical Thermal,1995,2,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008123,Bushehr,Natural Gas,75,,OCGT,1975-1993,3,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008124,Chabahar,Natural Gas,96,,CCGT,2008,5,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008125,Chadormaloo,Natural Gas,40,,CCGT,2003,1,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008126,Chahbahar (Kenarak),oil,64,,OCGT,1978,6,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008127,Crumia,Natural Gas,636,,CCGT,2007-2008,4,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008129,Dez,Hydro,520,,Dam,1962,8,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008130,Dorood Zan Dam,Hydro,10,,Dam,1989,2,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008131,Doroud,Oil,60,,OCGT,1977,2,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008132,Fajr Petroshimi,Natural Gas,585,,CCGT,2005,5,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008133,Farg Darab,Oil,4,,OCGT,2002,3,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008134,Fars,Natural Gas,1034,,CCGT,1995-2002,9,,,,TAVANIR,http://www2.tavanir.org.ir/info/stat87/sanatlhtml/Links/j14%20-1/main.htm,,,,,,,Operating,Iran,,,,,,,,,,,,
1008135,Ferdosi C.C.,Natural Gas,954,,CCGT,2007,6x159,,,,TAVANIR,http://www.mapnagroup.com/fa/project/%D9%86%DB%8C%D8%B1%D9%88%DA%AF%D8%A7%D9%87-%DA%AF%D8%A7%D8%B2%DB%8C-%D9%81%D8%B1%D8%AF%D9%88%D8%B3%DB%8C-boo/,,,,,,,Operating,Iran,,36.4481,59.4027,,,,,,,,نیروگاه فردوسی,
