PowerWatch ID,Name,Fuel,Capacity (MW),Location,Plant type,Age,Units,Owner,Annual Generation (GWh),Other,Source,URL,Efficiency,Fuel Consumption (gm/kWh),Peak Load MW,Load Factor,Capacity Factor,Availability,Status,Country,Grid Balancing Area,Latitude,Longitude,Secondary Fuel,Address,Town,Postal Code,Cooling Type,Cooling Source,Grid Connection,Natural_Language,CO2_annual_reported,CO2_specific_emissions_tCO2/MWh
1023596,Kasserine,Natural Gas,34,,OCGT,1984,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&sqi=2&ved=0ahUKEwi_xP3Co7PQAhXH7SYKHWDVCxQQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=FaVNwaTMbtVIKuotQfNLwQ&bvm=bv.139250283,d.eWE",,,,,,,Operating,Tunisia,,,,,,,,,,,,,
1023596,Kasserine 2,Natural Gas,34,,OCGT,1984,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&sqi=2&ved=0ahUKEwi_xP3Co7PQAhXH7SYKHWDVCxQQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=FaVNwaTMbtVIKuotQfNLwQ&bvm=bv.139250283,d.eWE",,,,,,,Operating,Tunisia,,,,,,,,,,,,,
1023597,Sfax,Natural Gas,22,,OCGT,1977,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&sqi=2&ved=0ahUKEwi_xP3Co7PQAhXH7SYKHWDVCxQQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=FaVNwaTMbtVIKuotQfNLwQ&bvm=bv.139250283,d.eWE",,,,,,,Operating,Tunisia,,,,,,,,,,,,,
1023597,Sfax 2,Natural Gas,22,,OCGT,1977,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&sqi=2&ved=0ahUKEwi_xP3Co7PQAhXH7SYKHWDVCxQQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=FaVNwaTMbtVIKuotQfNLwQ&bvm=bv.139250283,d.eWE",,,,,,,Operating,Tunisia,,,,,,,,,,,,,
1023598,Robbana,Gas OIl,34,,OCGT,1984,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&sqi=2&ved=0ahUKEwi_xP3Co7PQAhXH7SYKHWDVCxQQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=FaVNwaTMbtVIKuotQfNLwQ&bvm=bv.139250283,d.eWE",,,,,,,Operating,Tunisia,,,,,,,,,,,,,
1023599,Zarzis,Gas OIl,34,,OCGT,1984,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&sqi=2&ved=0ahUKEwi_xP3Co7PQAhXH7SYKHWDVCxQQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=FaVNwaTMbtVIKuotQfNLwQ&bvm=bv.139250283,d.eWE",,,,,,,Operating,Tunisia,,,,,,,,,,,,,
1023600,Menzel Bourguiba,Gas OIl,22,,OCGT,1978,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&sqi=2&ved=0ahUKEwi_xP3Co7PQAhXH7SYKHWDVCxQQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=FaVNwaTMbtVIKuotQfNLwQ&bvm=bv.139250283,d.eWE",,,,,,,Operating,Tunisia,,,,,,,,,,,,,
1023600,Menzel Bourguiba,Gas OIl,22,,OCGT,1978,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&sqi=2&ved=0ahUKEwi_xP3Co7PQAhXH7SYKHWDVCxQQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=FaVNwaTMbtVIKuotQfNLwQ&bvm=bv.139250283,d.eWE",,,,,,,Operating,Tunisia,,,,,,,,,,,,,
1023601,Tunis - Sud 1,Natural Gas,22,,OCGT,1975,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&sqi=2&ved=0ahUKEwi_xP3Co7PQAhXH7SYKHWDVCxQQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=FaVNwaTMbtVIKuotQfNLwQ&bvm=bv.139250283,d.eWE",,,,,,,Operating,Tunisia,,,,,,,,,,,,,
1023601,Tunis - Sud 2,Natural Gas,22,,OCGT,1975,,,,,Arab Union of Electricity,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&sqi=2&ved=0ahUKEwi_xP3Co7PQAhXH7SYKHWDVCxQQFggbMAA&url=http%3A%2F%2Fwww.auptde.org%2FNewsDetails.aspx%3Flang%3Den%26NID%3D283&usg=AFQjCNEkUcc5GeGitCkuTTJR3QTQZU1lMg&sig2=FaVNwaTMbtVIKuotQfNLwQ&bvm=bv.139250283,d.eWE",,,,,,,Operating,Tunisia,,,,,,,,,,,,,
